time,input,pid,output
2350,2000,2003,2001
2355,2000,2003,2004
2360,2000,2003,2001
2365,2000,2005,2001
2370,2000,2005,2004
2375,2000,2003,2001
2380,2000,2003,2001
2385,2000,2005,2001
2390,2000,2005,2001
2395,2000,2005,2001
2400,2000,2005,2001
2405,2000,2003,2001
2410,2000,2003,2004
2415,2000,2003,2001
2420,2000,2005,2001
2425,2000,2005,2001
2430,2000,2003,2001
2435,2000,2005,2001
2440,2000,2005,2001
2445,2000,2003,2004
2450,2000,2001,2001
2455,2000,2005,2001
2460,2000,2005,2001
2465,2000,2005,2001
2470,2000,2003,1998
2475,2000,2006,2001
2480,2000,2001,2001
2485,2000,2003,2001
2490,2000,2005,2004
2495,1000,2003,2001
2500,1000,0,1969
2505,1000,0,1875
2510,1000,424,1685
2515,1000,728,1498
2520,1000,845,1363
2525,1000,877,1256
2530,1000,901,1192
2535,1000,922,1144
2540,1000,937,1108
2545,1000,957,1082
2550,1000,970,1060
2555,1000,978,1047
2560,1000,985,1034
2565,1000,989,1024
2570,1000,994,1021
2575,1000,996,1015
2580,1000,998,1011
2585,1000,998,1011
2590,1000,1000,1008
2595,1000,999,1005
2600,1000,1003,1005
2605,1000,1003,1005
2610,1000,1001,1002
2615,1000,1000,1002
2620,1000,1002,1002
2625,1000,1002,1002
2630,1000,1002,1002
2635,1000,1002,1002
2640,1000,1002,1002
2645,1000,1002,1002
2650,1000,1005,1002
2655,1000,1002,999
2660,1000,1004,999
2665,1000,1006,999
2670,1000,1004,1002
2675,1000,1002,1002
2680,1000,1002,1002
2685,1000,1005,1002
2690,1000,1002,999
2695,1000,1004,999
2700,1000,1004,999
2705,1000,1004,999
2710,1000,1004,999
2715,1000,1004,999
2720,1000,1004,1002
2725,1000,1002,999
2730,1000,1004,1002
2735,1000,1002,999
2740,1000,1002,999
2745,1000,1004,999
2750,1000,1004,999
2755,1000,1004,999
2760,1000,1004,1002
2765,1000,1002,999
2770,1000,1000,999
2775,1000,1004,1002
2780,1000,1005,999
2785,1000,1004,999
2790,1000,1004,999
2795,1000,1004,999
2800,1000,1004,999
2805,1000,1004,999
2810,1000,1004,999
2815,1000,1004,1002
2820,1000,1002,999
2825,1000,1004,999
2830,1000,1004,999
2835,1000,1004,1002
2840,1000,1002,999
2845,1000,1004,999
2850,1000,1006,999
2855,1000,1004,999
2860,1000,1004,999
2865,1000,1004,999
2870,1000,1004,1002
2875,1000,1002,999
2880,1000,1004,999
2885,1000,1004,999
2890,1000,1004,999
2895,1000,1004,999
2900,1000,1004,999
2905,1000,1004,1002
2910,1000,1002,999
2915,1000,1004,1002
2920,1000,1005,999
2925,1000,1004,999
2930,1000,1004,999
2935,1000,982,999
2940,1000,1004,999
2945,1000,1008,999
2950,1000,1006,999
2955,1000,1004,999
2960,1000,1004,999
2965,1000,1004,999
2970,1000,1004,999
2975,1000,1004,999
2980,1000,1004,999
2985,1000,1004,999
2990,1000,1004,999
2995,2000,1004,999
3000,2000,3119,1031
3005,2000,3081,1131
3010,2000,2558,1327
3015,2000,2245,1517
3020,2000,2149,1659
3025,2000,2126,1749
3030,2000,2110,1814
3035,2000,2086,1859
3040,2000,2064,1898
3045,2000,2047,1923
3050,2000,2037,1943
3055,2000,2029,1956
3060,2000,2023,1969
3065,2000,2019,1975
3070,2000,2024,1981
3075,2000,2013,1988
3080,2000,2007,1991
3085,2000,2008,1994
3090,2000,2008,1998
3095,2000,2006,1998
3100,2000,2006,1998
3105,2000,2006,1998
3110,2000,2006,1998
3115,2000,2006,1998
3120,2000,2006,2001
3125,2000,2005,2001
3130,2000,2005,2001
3135,2000,2005,2001
3140,2000,2005,2001
3145,2000,2005,2001
3150,2000,2005,2001
3155,2000,2003,2001
3160,2000,2005,2001
3165,2000,2005,2001
3170,2000,2005,2001
3175,2000,2005,1975
3180,2000,2016,2020
3185,2000,1994,2001
3190,2000,2003,2001
3195,2000,2005,2004
3200,2000,2003,2001
3205,2000,2005,2001
3210,2000,2005,2001
3215,2000,2007,2001
3220,2000,2005,2004
3225,2000,2001,2001
3230,2000,2001,2001
3235,2000,2005,2001
3240,2000,2005,2001
3245,2000,2005,2001
3250,2000,2005,2001
3255,2000,2003,2001
3260,2000,2005,2001
3265,2000,1999,2001
3270,2000,2005,2001
3275,2000,2005,2001
3280,2000,2005,2001
3285,2000,2005,2001
3290,2000,2005,2001
3295,2000,2017,2004
3300,2000,2003,2001
3305,2000,2001,2004
3310,2000,2001,2004
3315,2000,2003,2001
3320,2000,2005,2001
3325,2000,2005,2001
3330,2000,2005,2001
3335,2000,2005,2001
3340,2000,2005,2001
3345,2000,2003,2001
3350,2000,2005,2001
3355,2000,2005,2001
3360,2000,2003,2001
3365,2000,2003,2001
3370,2000,2005,2001
3375,2000,2005,2004
3380,2000,2003,2001
3385,2000,2003,2001
3390,2000,1969,2001
3395,2000,2005,2001
3400,2000,2013,1998
3405,2000,2011,1998
3410,2000,2008,2001
3415,2000,2003,2001
3420,2000,2003,2001
3425,2000,2005,2001
3430,2000,2005,2001
3435,2000,2005,2001
3440,2000,2005,2001
3445,2000,2003,2001
3450,2000,2005,2004
3455,2000,2003,2001
3460,2000,2003,2001
3465,2000,2005,2004
3470,2000,2003,2001
3475,2000,2005,2001
3480,2000,2005,2001
3485,2000,2005,2004
3490,2000,2003,2001
3495,1000,2003,2001
3500,1000,0,1969
3505,1000,0,1875
