time,input,pid,output
2280,2000,2000,1994
2285,2000,2000,1998
2290,2000,2000,1994
2295,2000,2000,1998
2300,2000,2000,1998
2305,2000,2000,1998
2310,2000,2000,1998
2315,2000,2000,1994
2320,2000,2000,1998
2325,2000,2000,1994
2330,2000,2000,1998
2335,2000,2000,1994
2340,2000,2000,1998
2345,2000,2000,1994
2350,2000,2000,1998
2355,2000,2000,1998
2360,2000,2000,1998
2365,2000,2000,1998
2370,2000,2000,1998
2375,2000,2000,1998
2380,2000,2000,1998
2385,2000,2000,2001
2390,2000,2000,1998
2395,2000,2000,1998
2400,2000,2000,1998
2405,2000,2000,1998
2410,2000,2000,1998
2415,2000,2000,1998
2420,2000,2000,1994
2425,2000,2000,1998
2430,2000,2000,1998
2435,2000,2000,1998
2440,2000,2000,1998
2445,2000,2000,1998
2450,2000,2000,1998
2455,2000,2000,1998
2460,2000,2000,1998
2465,2000,2000,1998
2470,2000,2000,1998
2475,2000,2000,1998
2480,2000,2000,1998
2485,2000,2000,1998
2490,2000,2000,1998
2495,2000,2000,2007
2500,1000,1000,1994
2505,1000,1000,1943
2510,1000,1000,1843
2515,1000,1000,1733
2520,1000,1000,1630
2525,1000,1000,1543
2530,1000,1000,1463
2535,1000,1000,1398
2540,1000,1000,1340
2545,1000,1000,1292
2550,1000,1000,1250
2555,1000,1000,1211
2560,1000,1000,1182
2565,1000,1000,1156
2570,1000,1000,1134
2575,1000,1000,1115
2580,1000,1000,1098
2585,1000,1000,1082
2590,1000,1000,1069
2595,1000,1000,1060
2600,1000,1000,1053
2605,1000,1000,1044
2610,1000,1000,1037
2615,1000,1000,1031
2620,1000,1000,1028
2625,1000,1000,1021
2630,1000,1000,1021
2635,1000,1000,1015
2640,1000,1000,1015
2645,1000,1000,1011
2650,1000,1000,1011
2655,1000,1000,1008
2660,1000,1000,1005
2665,1000,1000,1005
2670,1000,1000,1005
2675,1000,1000,1002
2680,1000,1000,1002
2685,1000,1000,1002
2690,1000,1000,1002
2695,1000,1000,1002
2700,1000,1000,1002
2705,1000,1000,1002
2710,1000,1000,999
2715,1000,1000,999
2720,1000,1000,999
2725,1000,1000,999
2730,1000,1000,999
2735,1000,1000,999
2740,1000,1000,999
2745,1000,1000,999
2750,1000,1000,999
2755,1000,1000,999
2760,1000,1000,999
2765,1000,1000,999
2770,1000,1000,999
2775,1000,1000,995
2780,1000,1000,995
2785,1000,1000,999
2790,1000,1000,995
2795,1000,1000,999
2800,1000,1000,995
2805,1000,1000,995
2810,1000,1000,999
2815,1000,1000,1002
2820,1000,1000,995
2825,1000,1000,999
2830,1000,1000,995
2835,1000,1000,999
2840,1000,1000,995
2845,1000,1000,999
2850,1000,1000,999
2855,1000,1000,999
2860,1000,1000,995
2865,1000,1000,995
2870,1000,1000,995
2875,1000,1000,995
2880,1000,1000,995
2885,1000,1000,995
2890,1000,1000,995
2895,1000,1000,995
2900,1000,1000,995
